final_variable,original_dataset,original_variable,definition,year,geographic_scale,transformation,missing_data_treatment
zcta,Census GENZ2020 / ACS / PLACES,GEOID20 / locationname,5-digit ZIP Code Tabulation Area (2020 vintage) identifier - the analytical unit,2020,ZCTA5,"Extracted from GEO_ID prefix 860Z200US; zero-padded to 5 chars",Analytical key; ZCTA with no polygon dropped
state_fips,Census 2020 ZCTA-county relationship file,GEOID_COUNTY_20,State FIPS of the county holding the largest land-area part of the ZCTA,2020,ZCTA5,First 2 chars of the dominant county GEOID; filtered to 48 (Texas),n/a
county_fips,Census 2020 ZCTA-county relationship file,GEOID_COUNTY_20,County FIPS of the dominant (largest land-area) county part,2020,ZCTA5,Dominant part selected by AREALAND_PART,n/a
n_counties,Census 2020 ZCTA-county relationship file,GEOID_COUNTY_20,Number of counties the ZCTA overlaps,2020,ZCTA5,Distinct county count per ZCTA,n/a
aland_m2,Census GENZ2020 ZCTA boundaries,ALAND20,ZCTA land area in square metres,2020,ZCTA5,None,n/a
n_pws_serving,"UCMR5 ZIP codes + zip->zcta match",PWSID / ZIPCODE,Number of distinct Texas UCMR5 public water systems whose served-ZIP list contains this ZCTA,2023-2025,ZCTA5 (from PWS),Count of PWS-ZCTA edges,"NA -> ZCTA has no linked UCMR5 system (pfas_exposure_available = 0)"
pws_pop_served_sum,SDWIS WATER_SYSTEM,POPULATION_SERVED_COUNT,Sum of population-served counts of all UCMR5 systems linked to the ZCTA (over-counts; context only),current,ZCTA5,Summed across linked PWS,NA if no linked PWS
frac_pws_surface_water,SDWIS WATER_SYSTEM,GW_SW_CODE,Fraction of linked UCMR5 systems whose primary source is surface water,current,ZCTA5,Mean of (GW_SW_CODE == 'SW') across linked PWS,NA if no linked PWS
pfas_any_detect,UCMR5_All.txt,AnalyticalResultsSign / Contaminant,1 if any linked PWS had >=1 detected PFAS result in any sample; else 0 (exposure measure 1),2023-2025,ZCTA5,"Detection = sign '='; OR across linked PWS",NA if pfas_exposure_available = 0
pfas_detect_popwt,UCMR5_All.txt + SDWIS,AnalyticalResultsSign / POPULATION_SERVED_COUNT,Population-served-weighted mean of the PWS any-detect flag,2023-2025,ZCTA5,Weighted mean; weight = population_served_count,NA if no linked PWS
pfas_n_detected_max,UCMR5_All.txt,Contaminant / AnalyticalResultsSign,Maximum (over linked PWS) of the count of distinct PFAS compounds ever detected by that PWS (exposure measure 2),2023-2025,ZCTA5,Per-PWS distinct detected-compound count; max across linked PWS,NA if no linked PWS
pfas_n_detected_popwt,UCMR5_All.txt + SDWIS,Contaminant / POPULATION_SERVED_COUNT,Population-weighted mean of the per-PWS distinct detected-compound count,2023-2025,ZCTA5,Weighted mean,NA if no linked PWS
