dataset,provider,version_used,geographic_scale,years_available,years_used,variables_we_need,access_method,url,api_key_required,notes
UCMR 5 occurrence data (UCMR5_All.txt),US EPA (Fifth Unregulated Contaminant Monitoring Rule),"2023-08 posting, retrieved 2026-09-07",Public Water System / sampling point,2023-2025 monitoring (rolling; file updated quarterly),2023-2025 results in the 2023-08 file,"PWSID, PWS name, size, facility water type, sample point, collection date, contaminant, MRL, result sign (</=), result value, sample event, EPA region, state",Direct file download (ZIP),https://www.epa.gov/system/files/other-files/2023-08/ucmr5-occurrence-data.zip,no,"29 PFAS + lithium; ~2.0M analyte-result rows nationally; ~226k for Texas. EPA re-posts updated files ~quarterly through 2026 - re-run download_raw.sh to refresh."
UCMR 5 ZIP codes served (UCMR5_ZIPCodes.txt),US EPA,same ZIP as above,PWS -> ZIP code,n/a,current,"PWSID, ZIP code served",Bundled in the UCMR5 ZIP,https://www.epa.gov/system/files/other-files/2023-08/ucmr5-occurrence-data.zip,no,"One row per PWS-ZIP pair. This is a list of ZIPs in the service area, NOT a boundary and NOT population-weighted."
UCMR 5 additional data elements (UCMR5_AddtlDataElem.txt),US EPA,same ZIP as above,PWS / sample point,n/a,current,"PFAS occurrence flag, potential PFAS sources, treatment information",Bundled in the UCMR5 ZIP,https://www.epa.gov/system/files/other-files/2023-08/ucmr5-occurrence-data.zip,no,Self-reported utility responses; used descriptively only.
CDC PLACES - ZCTA data (2025 release),"CDC Division of Population Health / RWJF",2025 release (dataset id qnzd-25i4),ZIP Code Tabulation Area (ZCTA5),2020-2025 releases,2025 release,"ZCTA, measure id (OBESITY/DIABETES/BPHIGH), crude prevalence, 95% CI, total population, adult population",Socrata REST API (CSV),https://data.cdc.gov/resource/qnzd-25i4.csv,no,"Model-based small-area estimates from BRFSS 2023 + ACS 2019-2023 + 2020 census population. 29,983 ZCTAs nationally; crude prevalence only at ZCTA scale. NOT direct measurements; not for program evaluation."
ACS 5-year table-based Summary File,US Census Bureau,ACS 2019-2023 5-year,"multiple; we extract ZCTA5 (2020 vintage) rows",2009-2013 through 2019-2023,2019-2023,"B01001 age/sex, B01003 total pop, B03002 race/ethnicity, B15003 education, B17001 poverty, B19013 median HH income, B23025 employment, B25003 tenure, B25024 units in structure, B25064 gross rent, B25077 home value",Direct file download (.dat pipe-delimited) filtered to ZCTA rows,https://www2.census.gov/programs-surveys/acs/summary_file/2023/table-based-SF/data/5YRData/,no,"Keyless alternative to the Census Data API / tidycensus (which now require a key). Estimate + margin of error per cell. Table shells file gives labels."
Census ZCTA cartographic boundaries,US Census Bureau (GENZ2020),cb_2020_us_zcta520_500k,ZCTA5 polygons (2020),2020 (ZCTA not re-released after 2020),2020,"GEOID20, land area, water area, geometry",Direct shapefile download (ZIP),https://www2.census.gov/geo/tiger/GENZ2020/shp/cb_2020_us_zcta520_500k.zip,no,No 2021/2022 ZCTA cartographic file exists; 2020 ZCTAs are the current vintage and match PLACES + ACS.
Census county / state cartographic boundaries,US Census Bureau (GENZ2022),cb_2022_us_county_500k / cb_2022_us_state_500k,county / state polygons,2013-present,2022,"GEOID, name, geometry",Direct shapefile download (ZIP),https://www2.census.gov/geo/tiger/GENZ2022/shp/,no,Used for mapping context and county assignment.
Census 2020 ZCTA-to-county relationship file,US Census Bureau,tab20_zcta520_county20_natl,ZCTA x county parts,2020,2020,"GEOID_ZCTA5_20, GEOID_COUNTY_20, AREALAND_PART",Direct text download,https://www2.census.gov/geo/docs/maps-data/data/rel2020/zcta520/tab20_zcta520_county20_natl.txt,no,Used to assign each ZCTA to a state/county (largest land-area part) without a spatial join.
SDWIS/SDWA WATER_SYSTEM,US EPA (Safe Drinking Water Information System via Envirofacts),live (retrieved 2026-09-07),Public Water System,current + historical activity,current,"PWSID, PWS type, activity code, gw/sw code, owner type, population served count, service connections, city, ZIP",Envirofacts REST API (CSV),https://data.epa.gov/efservice/WATER_SYSTEM/PWSID/BEGINNING/TX/ROWS/0:9999/CSV,no,"UCMR5 has no population-served field; SDWIS supplies it. 100% match to UCMR5 Texas PWSIDs. Population-served is an administrative estimate."
SDWIS/SDWA GEOGRAPHIC_AREA,US EPA (Envirofacts),live (retrieved 2026-09-07),PWS -> county / city / ZIP served,current,current,"PWSID, area_type_code, county_served, city_served, zip_code_served",Envirofacts REST API (CSV),https://data.epa.gov/efservice/GEOGRAPHIC_AREA/PWSID/BEGINNING/TX/ROWS/0:9999/CSV,no,county_served is a semicolon-joined county-name list; used for cross-checking geography.
