"","obesity_pct","diabetes_pct","bphigh_pct","pfas_sum_ugL","pfas_hazard_index","pfas_n_detected_popwt","median_hh_income","poverty_rate","pct_bachelors_plus","unemployment_rate","pct_hispanic","pct_nh_black","pct_65_plus","pct_renter_occ","pop_density_km2","svi_index"
"obesity_pct",1,0.813,0.588,-0.122,-0.107,-0.177,-0.688,0.642,-0.794,0.321,0.495,0.281,-0.003,0.017,-0.205,0.031
"diabetes_pct",0.813,1,0.795,-0.177,-0.169,-0.253,-0.671,0.64,-0.747,0.313,0.501,0.107,0.296,-0.109,-0.233,0.061
"bphigh_pct",0.588,0.795,1,-0.205,-0.216,-0.451,-0.496,0.322,-0.641,0.163,-0.062,0.092,0.647,-0.367,-0.462,0.047
"pfas_sum_ugL",-0.122,-0.177,-0.205,1,0.565,0.671,0.112,-0.072,0.165,0.005,-0.024,0.147,-0.158,0.187,0.2,0.029
"pfas_hazard_index",-0.107,-0.169,-0.216,0.565,1,0.511,0.07,-0.076,0.091,-0.057,-0.009,0.005,-0.143,0.101,0.053,-0.066
"pfas_n_detected_popwt",-0.177,-0.253,-0.451,0.671,0.511,1,0.172,-0.031,0.313,0.067,0.154,0.192,-0.359,0.356,0.472,0.009
"median_hh_income",-0.688,-0.671,-0.496,0.112,0.07,0.172,1,-0.706,0.743,-0.307,-0.399,-0.179,-0.12,-0.298,0.076,-0.026
"poverty_rate",0.642,0.64,0.322,-0.072,-0.076,-0.031,-0.706,1,-0.492,0.445,0.503,0.218,-0.096,0.353,0.097,0.046
"pct_bachelors_plus",-0.794,-0.747,-0.641,0.165,0.091,0.313,0.743,-0.492,1,-0.207,-0.384,-0.059,-0.13,0.165,0.41,-0.001
"unemployment_rate",0.321,0.313,0.163,0.005,-0.057,0.067,-0.307,0.445,-0.207,1,0.199,0.26,-0.062,0.211,0.081,0.014
"pct_hispanic",0.495,0.501,-0.062,-0.024,-0.009,0.154,-0.399,0.503,-0.384,0.199,1,-0.103,-0.345,0.206,0.155,0.08
"pct_nh_black",0.281,0.107,0.092,0.147,0.005,0.192,-0.179,0.218,-0.059,0.26,-0.103,1,-0.231,0.345,0.265,-0.029
"pct_65_plus",-0.003,0.296,0.647,-0.158,-0.143,-0.359,-0.12,-0.096,-0.13,-0.062,-0.345,-0.231,1,-0.407,-0.361,0.062
"pct_renter_occ",0.017,-0.109,-0.367,0.187,0.101,0.356,-0.298,0.353,0.165,0.211,0.206,0.345,-0.407,1,0.599,-0.002
"pop_density_km2",-0.205,-0.233,-0.462,0.2,0.053,0.472,0.076,0.097,0.41,0.081,0.155,0.265,-0.361,0.599,1,-0.003
"svi_index",0.031,0.061,0.047,0.029,-0.066,0.009,-0.026,0.046,-0.001,0.014,0.08,-0.029,0.062,-0.002,-0.003,1
