"exposure","outcome","pearson","spearman","partial_ses_adj"
"pfas_any_detect","obesity_pct",-0.114,-0.128,0.013
"pfas_n_detected_popwt","obesity_pct",-0.177,-0.181,-0.03
"pfoa_ugL","obesity_pct",-0.088,-0.113,-0.043
"pfos_ugL","obesity_pct",-0.07,-0.176,-0.019
"pfas_sum_ugL","obesity_pct",-0.122,-0.134,-0.018
"pfas_hazard_index","obesity_pct",-0.107,-0.245,-0.02
"pfas_detect_freq","obesity_pct",-0.153,-0.159,0.001
"any_mcl_exceedance","obesity_pct",0.005,0.006,-0.009
"pfas_any_detect","diabetes_pct",-0.168,-0.2,-0.013
"pfas_n_detected_popwt","diabetes_pct",-0.253,-0.287,-0.062
"pfoa_ugL","diabetes_pct",-0.135,-0.164,-0.037
"pfos_ugL","diabetes_pct",-0.119,-0.26,-0.035
"pfas_sum_ugL","diabetes_pct",-0.177,-0.279,-0.034
"pfas_hazard_index","diabetes_pct",-0.169,-0.344,-0.041
"pfas_detect_freq","diabetes_pct",-0.272,-0.312,-0.061
"any_mcl_exceedance","diabetes_pct",-0.026,-0.025,-0.022
"pfas_any_detect","bphigh_pct",-0.327,-0.345,-0.02
"pfas_n_detected_popwt","bphigh_pct",-0.451,-0.489,-0.082
"pfoa_ugL","bphigh_pct",-0.179,-0.256,-0.044
"pfos_ugL","bphigh_pct",-0.15,-0.376,-0.052
"pfas_sum_ugL","bphigh_pct",-0.205,-0.388,-0.025
"pfas_hazard_index","bphigh_pct",-0.216,-0.465,-0.066
"pfas_detect_freq","bphigh_pct",-0.351,-0.435,-0.067
"any_mcl_exceedance","bphigh_pct",-0.041,-0.042,-0.027
