"variable","label","morans_I_knn6","z_knn6","p_knn6","morans_I_queen","p_queen"
"obesity_pct","Obesity",0.5836,39.49,"0.00e+00",0.6311,"6.87e-226"
"diabetes_pct","Diabetes",0.5472,37.04,"1.21e-300",0.601,"2.96e-205"
"bphigh_pct","Hypertension",0.5644,38.2,"1.25e-319",0.6143,"3.02e-214"
"pfas_hazard_index","PFAS Hazard Index",0.6885,47.3,"0.00e+00",0.8107,"0.00e+00"
"pfas_sum_ugL","Sum PFAS",0.6212,42.33,"0.00e+00",0.7021,"7.65e-283"
"pfas_n_detected_popwt","N PFAS detected",0.7447,50.36,"0.00e+00",0.7895,"0.00e+00"
"pfas_detect_freq","PFAS detection freq",0.8101,54.81,"0.00e+00",0.8418,"0.00e+00"
"svi_index","SES-vulnerability index",0.1446,9.832,"4.11e-23",0.1409,"3.07e-13"
"median_hh_income","Median HH income",0.483,32.74,"1.90e-235",0.5272,"6.07e-159"
"pct_hispanic","% Hispanic",0.7291,49.32,"0.00e+00",0.7581,"0.00e+00"
