"outcome","exposure","beta","se_hc1","std_beta","t","p_value","partial_r2","adj_r2","max_vif","n"
"obesity_pct","pfas_any_detect",0.1383,0.1564,0.01228,0.8842,0.3766,0.0001192,0.7781,5.588,1223
"obesity_pct","pfas_hi_log",-0.6161,0.4179,-0.01772,-1.474,0.1404,0.0002974,0.7783,5.587,1223
"obesity_pct","pfas_sum_log",-5.082,4.644,-0.01508,-1.094,0.2738,0.0002043,0.7782,5.598,1223
"obesity_pct","pfas_n_detected_popwt",-0.05256,0.03079,-0.02804,-1.707,0.08782,0.0005119,0.7785,5.595,1223
"diabetes_pct","pfas_any_detect",-0.1204,0.1086,-0.01383,-1.109,0.2675,0.0001511,0.8204,5.588,1223
"diabetes_pct","pfas_hi_log",-1.133,0.2824,-0.0421,-4.011,0.00006057,0.001679,0.8219,5.587,1223
"diabetes_pct","pfas_sum_log",-7.555,3.704,-0.02898,-2.039,0.04141,0.0007543,0.821,5.598,1223
"diabetes_pct","pfas_n_detected_popwt",-0.08121,0.02086,-0.05601,-3.894,0.00009871,0.002042,0.8223,5.595,1223
"bphigh_pct","pfas_any_detect",-0.2963,0.1765,-0.02173,-1.679,0.0932,0.0003733,0.8127,5.588,1223
"bphigh_pct","pfas_hi_log",-2.892,0.5462,-0.06868,-5.294,0.0000001194,0.004468,0.8169,5.587,1223
"bphigh_pct","pfas_sum_log",-7.397,5.462,-0.01813,-1.354,0.1756,0.0002952,0.8126,5.598,1223
"bphigh_pct","pfas_n_detected_popwt",-0.1675,0.03316,-0.0738,-5.05,0.0000004409,0.003545,0.8159,5.595,1223
